Run,Time,Size,Missingness,SelfWeight,Degree,TimeSteps,Fit
1.0,1.0,4.0,0.0,0.1,2.0,2.0,2.0232582292011714e-12
1.0,2.0,4.0,0.0,0.1,2.0,2.0,0.020577881598914216
1.0,3.0,4.0,0.0,0.1,2.0,2.0,0.03096173046074479
1.0,4.0,4.0,0.0,0.1,2.0,2.0,0.024136602962958973
1.0,5.0,4.0,0.0,0.1,2.0,2.0,0.032139970938042585
1.0,6.0,4.0,0.0,0.1,2.0,2.0,0.020477477563626254
1.0,7.0,4.0,0.0,0.1,2.0,2.0,0.02741629849528016
1.0,8.0,4.0,0.0,0.1,2.0,2.0,0.015953521199646877
1.0,9.0,4.0,0.0,0.1,2.0,2.0,0.02258563677610555
1.0,10.0,4.0,0.0,0.1,2.0,2.0,0.013191926378554606
1.0,11.0,4.0,0.0,0.1,2.0,2.0,0.01905564131427424
1.0,12.0,4.0,0.0,0.1,2.0,2.0,0.012236980129925632
1.0,13.0,4.0,0.0,0.1,2.0,2.0,0.01680311717793809
1.0,14.0,4.0,0.0,0.1,2.0,2.0,0.012237268301806941
1.0,15.0,4.0,0.0,0.1,2.0,2.0,0.015455924625802515
1.0,16.0,4.0,0.0,0.1,2.0,2.0,0.012529474795006743
1.0,17.0,4.0,0.0,0.1,2.0,2.0,0.014669170029438601
1.0,18.0,4.0,0.0,0.1,2.0,2.0,0.012831082081417082
1.0,19.0,4.0,0.0,0.1,2.0,2.0,0.014209684846000218
1.0,20.0,4.0,0.0,0.1,2.0,2.0,0.013064942918032745
2.0,1.0,4.0,0.0,0.1,2.0,2.0,1.2006286151959406e-11
2.0,2.0,4.0,0.0,0.1,2.0,2.0,0.06431567291044166
2.0,3.0,4.0,0.0,0.1,2.0,2.0,0.06119529298099679
2.0,4.0,4.0,0.0,0.1,2.0,2.0,0.04009654812079128
2.0,5.0,4.0,0.0,0.1,2.0,2.0,0.03869958952915191
2.0,6.0,4.0,0.0,0.1,2.0,2.0,0.02402021861210131
2.0,7.0,4.0,0.0,0.1,2.0,2.0,0.02391892081942151
2.0,8.0,4.0,0.0,0.1,2.0,2.0,0.020097529922544526
2.0,9.0,4.0,0.0,0.1,2.0,2.0,0.02113523880032017
2.0,10.0,4.0,0.0,0.1,2.0,2.0,0.021672370264763194
2.0,11.0,4.0,0.0,0.1,2.0,2.0,0.023140687594419555
2.0,12.0,4.0,0.0,0.1,2.0,2.0,0.024361657900316008
2.0,13.0,4.0,0.0,0.1,2.0,2.0,0.025857466948262145
2.0,14.0,4.0,0.0,0.1,2.0,2.0,0.026919750576165035
2.0,15.0,4.0,0.0,0.1,2.0,2.0,0.02829353769480961
2.0,16.0,4.0,0.0,0.1,2.0,2.0,0.02908407573826128
2.0,17.0,4.0,0.0,0.1,2.0,2.0,0.030285854551106068
2.0,18.0,4.0,0.0,0.1,2.0,2.0,0.03082151278004514
2.0,19.0,4.0,0.0,0.1,2.0,2.0,0.031843227275144506
2.0,20.0,4.0,0.0,0.1,2.0,2.0,0.032158252445547646
3.0,1.0,4.0,0.0,0.1,2.0,2.0,1.9984014443252818e-15
3.0,2.0,4.0,0.0,0.1,2.0,2.0,0.03632886033776719
3.0,3.0,4.0,0.0,0.1,2.0,2.0,0.0175880147816038
3.0,4.0,4.0,0.0,0.1,2.0,2.0,0.01144304657117611
3.0,5.0,4.0,0.0,0.1,2.0,2.0,0.006023082648765275
3.0,6.0,4.0,0.0,0.1,2.0,2.0,0.004666492625990669
3.0,7.0,4.0,0.0,0.1,2.0,2.0,0.003803165704661754
3.0,8.0,4.0,0.0,0.1,2.0,2.0,0.0037440759109921935
3.0,9.0,4.0,0.0,0.1,2.0,2.0,0.003712101891193215
3.0,10.0,4.0,0.0,0.1,2.0,2.0,0.0036836665571366627
3.0,11.0,4.0,0.0,0.1,2.0,2.0,0.0037029199947448102
3.0,12.0,4.0,0.0,0.1,2.0,2.0,0.0036872405588645554
3.0,13.0,4.0,0.0,0.1,2.0,2.0,0.0036967095882702297
3.0,14.0,4.0,0.0,0.1,2.0,2.0,0.003691053055813159
3.0,15.0,4.0,0.0,0.1,2.0,2.0,0.003694154083935985
3.0,16.0,4.0,0.0,0.1,2.0,2.0,0.003692493289692845
3.0,17.0,4.0,0.0,0.1,2.0,2.0,0.0036933478286643134
3.0,18.0,4.0,0.0,0.1,2.0,2.0,0.0036929176899252055
3.0,19.0,4.0,0.0,0.1,2.0,2.0,0.0036931288934864766
3.0,20.0,4.0,0.0,0.1,2.0,2.0,0.0036930271366875413
4.0,1.0,4.0,0.0,0.1,2.0,2.0,4.978471416038081e-15
4.0,2.0,4.0,0.0,0.1,2.0,2.0,0.007983301245691193
4.0,3.0,4.0,0.0,0.1,2.0,2.0,0.011745898527178214
4.0,4.0,4.0,0.0,0.1,2.0,2.0,0.01022645767423505
4.0,5.0,4.0,0.0,0.1,2.0,2.0,0.006711640143967682
4.0,6.0,4.0,0.0,0.1,2.0,2.0,0.006958799269585691
4.0,7.0,4.0,0.0,0.1,2.0,2.0,0.004701182961723554
4.0,8.0,4.0,0.0,0.1,2.0,2.0,0.005476221304148114
4.0,9.0,4.0,0.0,0.1,2.0,2.0,0.0046719331194855435
4.0,10.0,4.0,0.0,0.1,2.0,2.0,0.005046059541584576
4.0,11.0,4.0,0.0,0.1,2.0,2.0,0.004803459231798846
4.0,12.0,4.0,0.0,0.1,2.0,2.0,0.004927053057916333
4.0,13.0,4.0,0.0,0.1,2.0,2.0,0.00485816468603018
4.0,14.0,4.0,0.0,0.1,2.0,2.0,0.004893712310325418
4.0,15.0,4.0,0.0,0.1,2.0,2.0,0.004875047684344596
4.0,16.0,4.0,0.0,0.1,2.0,2.0,0.004884575633125109
4.0,17.0,4.0,0.0,0.1,2.0,2.0,0.004879720234753524
4.0,18.0,4.0,0.0,0.1,2.0,2.0,0.00488216196677518
4.0,19.0,4.0,0.0,0.1,2.0,2.0,0.004880941108682857
4.0,20.0,4.0,0.0,0.1,2.0,2.0,0.004881546466916341
5.0,1.0,4.0,0.0,0.1,2.0,2.0,5.907888898615034e-12
5.0,2.0,4.0,0.0,0.1,2.0,2.0,0.061595471191221295
5.0,3.0,4.0,0.0,0.1,2.0,2.0,0.028088224192009546
5.0,4.0,4.0,0.0,0.1,2.0,2.0,0.02565747966286666
5.0,5.0,4.0,0.0,0.1,2.0,2.0,0.024651154353646242
5.0,6.0,4.0,0.0,0.1,2.0,2.0,0.025345848776289873
5.0,7.0,4.0,0.0,0.1,2.0,2.0,0.025093495818618666
5.0,8.0,4.0,0.0,0.1,2.0,2.0,0.025329752345609663
5.0,9.0,4.0,0.0,0.1,2.0,2.0,0.02523509401600984
5.0,10.0,4.0,0.0,0.1,2.0,2.0,0.025303280851862626
5.0,11.0,4.0,0.0,0.1,2.0,2.0,0.025271267989054737
5.0,12.0,4.0,0.0,0.1,2.0,2.0,0.02529138089011909
5.0,13.0,4.0,0.0,0.1,2.0,2.0,0.025281080858722573
5.0,14.0,4.0,0.0,0.1,2.0,2.0,0.025287146823716484
5.0,15.0,4.0,0.0,0.1,2.0,2.0,0.025283903919275638
5.0,16.0,4.0,0.0,0.1,2.0,2.0,0.0252857563813611
5.0,17.0,4.0,0.0,0.1,2.0,2.0,0.025284745373837847
5.0,18.0,4.0,0.0,0.1,2.0,2.0,0.025285314655122834
5.0,19.0,4.0,0.0,0.1,2.0,2.0,0.0252850009012887
5.0,20.0,4.0,0.0,0.1,2.0,2.0,0.025285176380215043
6.0,1.0,4.0,0.0,0.1,2.0,2.0,2.475632396677493e-11
6.0,2.0,4.0,0.0,0.1,2.0,2.0,0.01903454064772595
6.0,3.0,4.0,0.0,0.1,2.0,2.0,0.009354026512497848
6.0,4.0,4.0,0.0,0.1,2.0,2.0,0.013577514273012641
6.0,5.0,4.0,0.0,0.1,2.0,2.0,0.006833027469107791
6.0,6.0,4.0,0.0,0.1,2.0,2.0,0.010228088740536325
6.0,7.0,4.0,0.0,0.1,2.0,2.0,0.00561175225392123
6.0,8.0,4.0,0.0,0.1,2.0,2.0,0.008385747522816954
6.0,9.0,4.0,0.0,0.1,2.0,2.0,0.005445905832446373
6.0,10.0,4.0,0.0,0.1,2.0,2.0,0.007367116093582305
6.0,11.0,4.0,0.0,0.1,2.0,2.0,0.005607003873070325
6.0,12.0,4.0,0.0,0.1,2.0,2.0,0.006811960594640455
6.0,13.0,4.0,0.0,0.1,2.0,2.0,0.005794597709139302
6.0,14.0,4.0,0.0,0.1,2.0,2.0,0.006512550688139087
6.0,15.0,4.0,0.0,0.1,2.0,2.0,0.005935046219506269
6.0,16.0,4.0,0.0,0.1,2.0,2.0,0.006350941300601433
6.0,17.0,4.0,0.0,0.1,2.0,2.0,0.006026335341105645
6.0,18.0,4.0,0.0,0.1,2.0,2.0,0.006263122518606749
6.0,19.0,4.0,0.0,0.1,2.0,2.0,0.006081829745473568
6.0,20.0,4.0,0.0,0.1,2.0,2.0,0.006215067759978973
7.0,1.0,4.0,0.0,0.1,2.0,2.0,2.8476978192730874e-13
7.0,2.0,4.0,0.0,0.1,2.0,2.0,0.03290243993723368
7.0,3.0,4.0,0.0,0.1,2.0,2.0,0.01875067138010757
7.0,4.0,4.0,0.0,0.1,2.0,2.0,0.01846113142434718
7.0,5.0,4.0,0.0,0.1,2.0,2.0,0.015792014473945973
7.0,6.0,4.0,0.0,0.1,2.0,2.0,0.01643995197895014
7.0,7.0,4.0,0.0,0.1,2.0,2.0,0.016360076209271192
7.0,8.0,4.0,0.0,0.1,2.0,2.0,0.01678780983131382
7.0,9.0,4.0,0.0,0.1,2.0,2.0,0.016888295422948337
7.0,10.0,4.0,0.0,0.1,2.0,2.0,0.017042697142492375
7.0,11.0,4.0,0.0,0.1,2.0,2.0,0.017091454771095617
7.0,12.0,4.0,0.0,0.1,2.0,2.0,0.01713958547931599
7.0,13.0,4.0,0.0,0.1,2.0,2.0,0.01715720506989686
7.0,14.0,4.0,0.0,0.1,2.0,2.0,0.0171715529390257
7.0,15.0,4.0,0.0,0.1,2.0,2.0,0.017177370741386578
7.0,16.0,4.0,0.0,0.1,2.0,2.0,0.017181594236836656
7.0,17.0,4.0,0.0,0.1,2.0,2.0,0.017183441843227707
7.0,18.0,4.0,0.0,0.1,2.0,2.0,0.017184682961487445
7.0,19.0,4.0,0.0,0.1,2.0,2.0,0.017185257804556004
7.0,20.0,4.0,0.0,0.1,2.0,2.0,0.017185623196741398
8.0,1.0,4.0,0.0,0.1,2.0,2.0,5.062289765695554e-13
8.0,2.0,4.0,0.0,0.1,2.0,2.0,0.01899577615428031
8.0,3.0,4.0,0.0,0.1,2.0,2.0,0.009929169524536157
8.0,4.0,4.0,0.0,0.1,2.0,2.0,0.0045376566251017015
8.0,5.0,4.0,0.0,0.1,2.0,2.0,0.002341175398706146
8.0,6.0,4.0,0.0,0.1,2.0,2.0,0.0015459966562288768
8.0,7.0,4.0,0.0,0.1,2.0,2.0,0.0014373239581116797
8.0,8.0,4.0,0.0,0.1,2.0,2.0,0.0013847939624495292
8.0,9.0,4.0,0.0,0.1,2.0,2.0,0.0013902515648685203
8.0,10.0,4.0,0.0,0.1,2.0,2.0,0.0013848859845070167
8.0,11.0,4.0,0.0,0.1,2.0,2.0,0.0013866293644987102
8.0,12.0,4.0,0.0,0.1,2.0,2.0,0.0013858028211312212
8.0,13.0,4.0,0.0,0.1,2.0,2.0,0.0013861339135132036
8.0,14.0,4.0,0.0,0.1,2.0,2.0,0.0013859920117550069
8.0,15.0,4.0,0.0,0.1,2.0,2.0,0.0013860510756802896
8.0,16.0,4.0,0.0,0.1,2.0,2.0,0.0013860261939604474
8.0,17.0,4.0,0.0,0.1,2.0,2.0,0.0013860366221349852
8.0,18.0,4.0,0.0,0.1,2.0,2.0,0.0013860322423103967
8.0,19.0,4.0,0.0,0.1,2.0,2.0,0.0013860340801474388
