Run,Size,Missingness,SelfWeight,Degree,TimeSteps,Recovery,MeanDegree,MeanSelfWeight,Fit,RMSETime
1.0,4.0,0.0,0.1,2.0,2.0,0.06965038400282868,1.5,0.14761982695965545,0.018974355888091304,2.0232582292011714e-12
2.0,4.0,0.0,0.1,2.0,2.0,0.09743780540436221,1.5,0.02606176505263225,0.032817801163949535,1.2006286151959406e-11
3.0,4.0,0.0,0.1,2.0,2.0,0.17926199394478207,2.5,0.10223633959993011,0.010025933643487445,1.9984014443252818e-15
4.0,4.0,0.0,0.1,2.0,2.0,0.1906862654286401,2.0,0.04328915430819499,0.006070235366301908,4.978471416038081e-15
5.0,4.0,0.0,0.1,2.0,2.0,0.1860705645260539,2.5,0.1124967217006914,0.027778174852414697,5.907888898615034e-12
6.0,4.0,0.0,0.1,2.0,2.0,0.132145078800264,2.0,0.06603067946592772,0.00822119112796329,2.475632396677493e-11
7.0,4.0,0.0,0.1,2.0,2.0,0.20599416293469278,2.0,0.1392624485995573,0.01784156545651927,2.8476978192730874e-13
8.0,4.0,0.0,0.1,2.0,2.0,0.13142721789677267,3.0,0.03948611067666945,0.005074129566827092,5.062289765695554e-13
9.0,4.0,0.0,0.1,2.0,2.0,0.16282865944322392,2.5,0.06836698381377915,0.012961198886489611,2.2460545844055508e-11
10.0,4.0,0.0,0.1,2.0,2.0,0.19771940991103656,2.0,0.04484884116714899,0.16865970620356582,5.897635959124539e-14
1.0,4.0,0.0,0.1,2.0,3.0,1.0258431394038192e-6,1.5,0.050432463772315306,1.763429259728755e-6,6.123252989653345e-7
2.0,4.0,0.0,0.1,2.0,3.0,0.01252019436492491,2.5,0.054963869396417585,0.001479675971227647,7.949509093329946e-5
3.0,4.0,0.0,0.1,2.0,3.0,0.03137415566227745,2.0,0.17121469785679877,0.0009496450055070124,5.24986709350573e-7
4.0,4.0,0.0,0.1,2.0,3.0,0.0010421402918405359,2.0,0.08210256324030335,0.00023496245331038214,0.0003590235670801098
5.0,4.0,0.0,0.1,2.0,3.0,0.09136996290308337,2.5,0.0991803325073069,0.00529470256407366,1.2332908661858453e-7
6.0,4.0,0.0,0.1,2.0,3.0,0.00011653194660769156,1.5,0.0788249126265526,6.754290051817714e-5,3.684030139158339e-5
7.0,4.0,0.0,0.1,2.0,3.0,0.08751569620745138,2.0,0.034923353574484714,0.0029470758619683925,0.00023052388214180015
8.0,4.0,0.0,0.1,2.0,3.0,0.06843104283301943,2.5,0.07666317709564927,0.0037052043197415346,5.083923159256766e-5
9.0,4.0,0.0,0.1,2.0,3.0,0.12569183153788,3.0,0.04301287976069856,0.003352872206426789,0.0006983843290871484
10.0,4.0,0.0,0.1,2.0,3.0,0.1179336164511495,2.0,0.054513975663438984,0.022754628898368982,3.6218070847623115e-5
1.0,4.0,0.0,0.1,2.0,6.0,0.0036792540037856696,3.0,0.07225712808717438,7.239576096402213e-5,0.00012981227130918967
2.0,4.0,0.0,0.1,2.0,6.0,0.11788510196590112,2.0,0.052226452770936606,6.81596945420874e-5,0.0001202280654099079
3.0,4.0,0.0,0.1,2.0,6.0,0.0005274500078520755,2.5,0.1124353802066136,6.48148545279251e-6,1.2693318954560255e-5
4.0,4.0,0.0,0.1,2.0,6.0,0.006154703213563651,3.0,0.09890980716615361,0.0001020291552506892,0.00018730553362632417
5.0,4.0,0.0,0.1,2.0,6.0,0.07235901039915224,2.0,0.19339003717165015,1.005222433235466e-5,1.4060665228859307e-5
6.0,4.0,0.0,0.1,2.0,6.0,0.03055399015546995,2.0,0.17336370854461264,0.00018130133733148968,0.00029629396658230887
7.0,4.0,0.0,0.1,2.0,6.0,1.1642883176838868e-5,1.5,0.08687713450747257,4.011965738374091e-6,1.7686236162177254e-6
8.0,4.0,0.0,0.1,2.0,6.0,9.415575054096805e-7,2.5,0.105280237033423,1.0070652004393937e-7,1.9494873153774242e-7
9.0,4.0,0.0,0.1,2.0,6.0,0.0018533332283157927,2.5,0.0532759904462016,8.187480143190055e-5,0.00013551965398773228
10.0,4.0,0.0,0.1,2.0,6.0,0.00933659695829168,2.5,0.07798036203477746,0.000252986176845191,0.00045745448792737866
1.0,4.0,0.0,0.1,2.0,11.0,0.0010900171692567822,2.5,0.1048780652839886,3.995361375564512e-5,5.640157786996729e-5
2.0,4.0,0.0,0.1,2.0,11.0,0.004025334626550066,2.5,0.09572682116473866,5.644552022162187e-5,7.976616784719369e-5
3.0,4.0,0.0,0.1,2.0,11.0,6.577575565796441e-5,2.0,0.0911810327490465,4.755025269312558e-6,6.703817966980069e-6
4.0,4.0,0.0,0.1,2.0,11.0,0.009970913184254094,2.5,0.0740663761278165,0.00019572185213084157,0.00027529405424356394
5.0,4.0,0.0,0.1,2.0,11.0,3.868827000199888e-6,1.5,0.10412224617813855,3.7196609837029257e-7,5.253798106263657e-7
6.0,4.0,0.0,0.1,2.0,11.0,0.001472320082722031,2.5,0.0863084558175585,5.390773330078274e-5,7.573575826041545e-5
7.0,4.0,0.0,0.1,2.0,11.0,0.02070890594292261,2.5,0.05709718536337521,0.0005010872876033765,0.0007082707832970459
8.0,4.0,0.0,0.1,2.0,11.0,6.386543257916586e-8,1.5,0.10758971426196272,9.015640870495822e-9,1.2248305727284443e-8
9.0,4.0,0.0,0.1,2.0,11.0,0.00576120648337609,2.5,0.11501623004690141,8.580492335970328e-5,0.00012096263513529483
10.0,4.0,0.0,0.1,2.0,11.0,0.007389499053203392,2.5,0.033633520259693656,8.00377126877712e-5,0.00011276066933118608
1.0,4.0,0.0,0.5,2.0,2.0,0.12663868045259194,1.5,0.5291931564173529,0.016704449016040734,1.0101960420351895e-13
2.0,4.0,0.0,0.5,2.0,2.0,0.09961524765714758,1.5,0.5037073187590613,0.10800272527423002,1.9525534384831245e-12
3.0,4.0,0.0,0.5,2.0,2.0,0.11400529396083717,2.5,0.49933422796895804,0.048268285243899055,4.169736289346392e-11
4.0,4.0,0.0,0.5,2.0,2.0,0.15512853226445372,2.5,0.5000964657581104,0.004734864309383946,9.650701050865827e-14
5.0,4.0,0.0,0.5,2.0,2.0,0.15801628627034603,2.0,0.49089620511611365,0.03264030130809345,3.3199613392397836e-14
6.0,4.0,0.0,0.5,2.0,2.0,0.14955336415101586,2.5,0.41112944408003554,0.006675984251596833,9.889383633001645e-13
7.0,4.0,0.0,0.5,2.0,2.0,0.07705012622610612,1.5,0.5500584337044779,0.014591142144059191,9.913417665250693e-12
8.0,4.0,0.0,0.5,2.0,2.0,0.18414698490411607,2.0,0.5260617931196634,0.09519594855893725,2.272341468378036e-12
9.0,4.0,0.0,0.5,2.0,2.0,0.12656170460950417,1.5,0.5693440234945502,0.009509494625585008,1.272471017443877e-10
10.0,4.0,0.0,0.5,2.0,2.0,0.08356727326655473,3.0,0.4572722758457548,0.011017946307327886,1.1798714783582632e-10
1.0,4.0,0.0,0.5,2.0,3.0,0.05173408582012325,3.0,0.34709694307723876,0.0002358870191203225,0.0003000026327046485
2.0,4.0,0.0,0.5,2.0,3.0,0.003410316952084046,2.5,0.5525817518354693,0.00013996889888045406,2.5139998981860756e-5
3.0,4.0,0.0,0.5,2.0,3.0,0.0013156317385967357,2.0,0.5243182726078459,1.5098524046760054e-5,1.035162563454079e-5
